Quarter,Midwest,NorthEast,South,West
1/1/2010,206.829,232.621,210.431,220.326
4/1/2010,207.883,233.860,211.394,221.255
7/1/2010,208.546,234.021,211.357,221.413
10/1/2010,208.925,234.969,212.170,221.413
1/1/2011,211.477,237.384,215.179,224.713
4/1/2011,215.463,241.174,219.319,228.143
7/1/2011,216.551,242.879,220.175,228.391
10/1/2011,215.480,242.551,219.800,228.694
1/1/2012,217.399,243.951,221.871,230.338
4/1/2012,219.189,245.587,223.545,232.772
7/1/2012,220.181,246.215,223.879,232.992
10/1/2012,219.630,247.039,223.672,233.400
1/1/2013,221.001,248.220,225.478,234.288
4/1/2013,222.918,248.633,226.546,235.898
7/1/2013,223.067,249.833,227.754,236.693
10/1/2013,221.694,249.463,227.104,236.416
1/1/2014,223.742,251.564,228.811,237.804
4/1/2014,226.789,253.220,231.792,240.925
7/1/2014,226.832,253.391,231.795,241.810
10/1/2014,224.337,251.677,229.809,240.322
1/1/2015,222.465,250.695,228.045,239.919
4/1/2015,224.825,252.719,230.956,243.620
7/1/2015,225.622,253.077,231.297,244.678
10/1/2015,223.927,252.249,230.288,243.841
1/1/2016,223.706,252.281,230.031,244.942
4/1/2016,226.640,254.921,232.906,247.557
7/1/2016,227.173,255.672,233.641,248.702
10/1/2016,226.942,256.524,234.190,249.620
1/1/2017,228.579,258.450,235.899,252.005
4/1/2017,229.722,259.295,236.949,254.218
7/1/2017,230.431,259.739,238.161,255.498
10/1/2017,230.764,260.667,238.813,257.232
1/1/2018,232.490,263.001,240.830,259.873
4/1/2018,234.811,265.486,243.178,263.003
7/1/2018,235.382,266.321,243.674,264.490
10/1/2018,234.477,265.746,243.266,265.687
1/1/2019,235.358,266.947,243.986,266.403
4/1/2019,238.006,269.649,246.676,270.453
7/1/2019,238.798,270.497,247.031,271.465
10/1/2019,238.942,270.473,247.366,273.079