Quarter,Midwest,Northeast,South,West
1/1/2010,109.9,111.8,111.5,111.3
4/1/2010,110.4,112.7,112.0,111.7
7/1/2010,111.0,113.1,112.5,112.3
10/1/2010,111.3,113.6,112.8,112.5
1/1/2011,112.2,114.4,113.4,113.5
4/1/2011,113.3,115.3,114.3,114.3
7/1/2011,113.6,115.7,114.7,114.6
10/1/2011,113.9,116.1,115.0,115.1
1/1/2012,114.7,116.5,116.0,115.7
4/1/2012,115.3,117.1,116.8,116.3
7/1/2012,115.6,117.6,117.2,116.8
10/1/2012,115.9,117.8,117.7,116.8
1/1/2013,116.4,118.7,118.6,117.6
4/1/2013,117.0,119.4,119.3,118.5
7/1/2013,117.4,119.7,119.7,119.2
10/1/2013,117.8,120.1,120.1,119.6
1/1/2014,118.4,120.5,120.6,120.1
4/1/2014,119.5,121.8,121.7,120.9
7/1/2014,120.0,122.7,122.3,121.9
10/1/2014,120.3,123.2,122.7,122.5
1/1/2015,121.2,125.3,123.2,123.1
4/1/2015,121.4,124.3,123.9,123.8
7/1/2015,122.1,125.1,124.3,124.6
10/1/2015,122.5,125.6,124.6,125.3
1/1/2016,123.4,127.3,125.1,126.2
4/1/2016,124.5,127.7,125.9,127.2
7/1/2016,125.3,128.2,126.2,127.9
10/1/2016,125.7,128.7,126.2,128.6
1/1/2017,126.8,130.2,127.1,129.9
4/1/2017,127.4,131.2,127.9,131.0
7/1/2017,128.0,131.8,128.7,132.3
10/1/2017,128.5,132.0,129.2,132.9
1/1/2018,129.8,133.7,130.4,134.6
4/1/2018,130.6,134.7,131.4,135.7
7/1/2018,131.6,135.9,132.0,136.6
10/1/2018,132.3,136.5,132.5,137.2
1/1/2019,133.5,138.1,133.3,138.5
4/1/2019,134.1,139.0,134.2,139.5
7/1/2019,135.0,140.0,135.3,140.4
10/1/2019,135.7,140.7,135.8,140.9